['W 4 St-Wash Sq', [1, 'c', '168 St'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St']] 2021-11-27 10:34:50.209767
['W 4 St-Wash Sq', [1, 'c', '168 St'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [4, 'a', 'Inwood-207 St']] 2021-11-27 10:34:57.020047
['W 4 St-Wash Sq', [1, 'c', '168 St'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St']] 2021-11-27 10:35:03.749941
['W 4 St-Wash Sq', [1, 'c', '168 St'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St']] 2021-11-27 10:35:10.619923
['W 4 St-Wash Sq', [1, 'c', '168 St'], [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St']] 2021-11-27 10:35:17.284307
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St']] 2021-11-27 10:35:23.959952
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St']] 2021-11-27 10:35:30.860237
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St']] 2021-11-27 10:35:37.510901
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [10, 'c', '168 St']] 2021-11-27 10:35:44.112544
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:35:50.721962
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:35:57.378112
['W 4 St-Wash Sq', [2, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:36:04.027652
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:36:11.088233
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:36:17.661414
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:36:24.131304
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [3, 'a', 'Inwood-207 St'], [9, 'c', '168 St']] 2021-11-27 10:36:30.851328
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'a', 'Inwood-207 St'], [8, 'c', '168 St']] 2021-11-27 10:36:37.435633
['W 4 St-Wash Sq', [1, 'e', 'Jamaica Center-Parsons/Archer'], [2, 'a', 'Inwood-207 St'], [8, 'c', '168 St']] 2021-11-27 10:36:44.074235
['W 4 St-Wash Sq', [2, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:36:50.677386
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:36:57.153505
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:03.785016
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:10.631728
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:17.306658
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:23.932771
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [8, 'c', '168 St'], [12, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:30.536160
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:37.176427
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:43.643293
['W 4 St-Wash Sq', [1, 'a', 'Inwood-207 St'], [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer']] 2021-11-27 10:37:50.190399
['W 4 St-Wash Sq', [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:37:56.796710
['W 4 St-Wash Sq', [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:38:03.391141
['W 4 St-Wash Sq', [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:38:09.996260
['W 4 St-Wash Sq', [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:38:16.580716
['W 4 St-Wash Sq', [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer'], [13, 'a', 'Inwood-207 St']] 2021-11-27 10:38:23.231852
['W 4 St-Wash Sq', [7, 'c', '168 St'], [11, 'e', 'Jamaica Center-Parsons/Archer'], [12, 'a', 'Inwood-207 St']] 2021-11-27 10:38:29.749912
['W 4 St-Wash Sq', [7, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [12, 'a', 'Inwood-207 St']] 2021-11-27 10:38:36.396440
['W 4 St-Wash Sq', [7, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:38:42.949005
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:38:49.641020
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:38:56.131575
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:02.660943
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:09.470544
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:17.568510
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:24.842819
['W 4 St-Wash Sq', [6, 'c', '168 St'], [10, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:31.848632
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:38.392145
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:45.248964
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [11, 'a', 'Inwood-207 St']] 2021-11-27 10:39:51.980005
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:39:58.663818
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:05.208788
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:11.840147
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:18.513026
['W 4 St-Wash Sq', [5, 'c', '168 St'], [9, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:25.161347
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:31.725317
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:38.512899
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [10, 'a', 'Inwood-207 St']] 2021-11-27 10:40:45.186710
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:40:51.998607
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:40:58.529238
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:05.080543
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:11.636085
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:18.445700
['W 4 St-Wash Sq', [4, 'c', '168 St'], [8, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:25.059351
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:31.860424
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:38.753060
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:45.394585
['W 4 St-Wash Sq', [4, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:51.901331
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:41:58.536328
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:42:05.066021
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [9, 'a', 'Inwood-207 St']] 2021-11-27 10:42:11.591139
['W 4 St-Wash Sq', [3, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:18.620598
['W 4 St-Wash Sq', [2, 'c', '168 St'], [7, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:25.073302
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:31.575364
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:38.330575
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:45.196263
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [8, 'a', 'Inwood-207 St']] 2021-11-27 10:42:51.853202
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:42:58.523405
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:05.173009
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:11.740349
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:18.127900
['W 4 St-Wash Sq', [2, 'c', '168 St'], [6, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:31.849975
['W 4 St-Wash Sq', [2, 'c', '168 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:38.603903
['W 4 St-Wash Sq', [2, 'c', '168 St'], [5, 'e', 'Jamaica Center-Parsons/Archer'], [7, 'a', 'Inwood-207 St']] 2021-11-27 10:43:45.301395
